Customer_ID,Booking_Date,Pickup_Location,Destination,No_of_Days,Distance_km,Season,Car_Name,Total_Amount,Total_Cost,Total_Profit,Mode_of_Payment,Additional_Costs,Day_of_Week,Customer_Segment,Seasonal_Demand,Destination_Popularity
65,3/5/2024,Goa,Kolkata,1,1495,Spring,Shift Dizire,23920,8970,14950,Cash,130,Tuesday,Mid-Spender,Off-Peak,Low
66,3/6/2024,Hyderabad,Odisha,4,2332,Spring,Artica,44308,16324,27984,Card,420,Wednesday,High-Spender,Off-Peak,High
67,3/7/2024,Agra,Odisha,3,1400,Spring,Etios,22400,8400,14000,Online,402,Thursday,Budget-Spender,Off-Peak,High
68,3/8/2024,Jaipur,Shimla,5,1500,Spring,Crista,40500,15000,25500,Cash,272,Friday,High-Spender,Off-Peak,Medium
69,3/9/2024,Agra,Varanasi,6,1800,Spring,Crista,48600,18000,30600,Cash,84,Saturday,High-Spender,Off-Peak,Medium
70,3/10/2024,Hyderabad,Udaipur,4,1200,Spring,Etios,19200,7200,12000,Cash,303,Sunday,Budget-Spender,Off-Peak,Medium
71,3/11/2024,Delhi,Shimla,4,2210,Spring,Carence,48620,17680,30940,Cash,90,Monday,High-Spender,Off-Peak,Medium
72,3/12/2024,Hyderabad,Odisha,3,1129,Spring,Innova,25967,9032,16935,Online,458,Tuesday,Mid-Spender,Off-Peak,High
73,3/13/2024,Chennai,Pune,5,2078,Spring,Artica,39482,14546,24936,Card,372,Wednesday,Mid-Spender,Off-Peak,Low
74,3/14/2024,Kolkata,Chennai,6,1800,Spring,Shift Dizire,28800,10800,18000,Online,282,Thursday,Mid-Spender,Off-Peak,Low
75,3/15/2024,Bangalore,Pune,4,1200,Spring,Aura,19200,7200,12000,Cash,221,Friday,Budget-Spender,Off-Peak,Low
76,3/16/2024,Bangalore,Hyderabad,7,2100,Spring,Etios,33600,12600,21000,Card,422,Saturday,Mid-Spender,Off-Peak,Medium
77,3/17/2024,Hyderabad,Mumbai,3,1538,Spring,Etios,24608,9228,15380,Cash,424,Sunday,Mid-Spender,Off-Peak,Medium
78,3/18/2024,Delhi,Goa,5,1965,Spring,Aura,31440,11790,19650,Card,186,Monday,Mid-Spender,Off-Peak,High
79,3/19/2024,Odisha,Jaipur,2,2203,Spring,Aura,35248,13218,22030,Cash,474,Tuesday,Mid-Spender,Off-Peak,High
80,3/20/2024,Agra,Mumbai,7,2100,Spring,Innova,48300,16800,31500,Card,195,Wednesday,High-Spender,Off-Peak,Medium
81,3/21/2024,Rishikesh,Delhi,6,1800,Spring,Tata Zest,28800,10800,18000,Cash,97,Thursday,Mid-Spender,Off-Peak,High
82,3/22/2024,Kolkata,Delhi,3,1363,Spring,Tata Zest,21808,8178,13630,Online,237,Friday,Budget-Spender,Off-Peak,High
83,3/23/2024,Bangalore,Chennai,3,1862,Spring,Etios,29792,11172,18620,Card,392,Saturday,Mid-Spender,Off-Peak,Low
84,3/24/2024,Varanasi,Rishikesh,7,2100,Spring,Tata Zest,33600,12600,21000,Card,126,Sunday,Mid-Spender,Off-Peak,High
85,3/25/2024,Shimla,Goa,7,2100,Spring,Carence,46200,16800,29400,Card,196,Monday,High-Spender,Off-Peak,High
86,3/28/2024,Manali,Goa,4,1200,Spring,Etios,19200,7200,12000,Cash,357,Thursday,Budget-Spender,Off-Peak,High
87,3/29/2024,Pune,Agra,5,1837,Spring,Tata Zest,29392,11022,18370,Card,56,Friday,Mid-Spender,Off-Peak,Low
88,3/30/2024,Odisha,Udaipur,6,1800,Spring,Innova,41400,14400,27000,Cash,222,Saturday,High-Spender,Off-Peak,Medium
89,3/31/2024,Agra,Odisha,7,2100,Spring,Aura,33600,12600,21000,Online,450,Sunday,Mid-Spender,Off-Peak,High
90,4/1/2024,Goa,Bangalore,2,2427,Spring,Tata Zest,38832,14562,24270,Card,133,Monday,Mid-Spender,Off-Peak,Low
91,4/3/2024,Chennai,Varanasi,2,820,Spring,Crista,22140,8200,13940,Cash,458,Wednesday,Budget-Spender,Off-Peak,Medium
92,4/4/2024,Kolkata,Bangalore,3,1431,Spring,Etios,22896,8586,14310,Card,281,Thursday,Budget-Spender,Off-Peak,Low
93,4/5/2024,Mumbai,Jaipur,2,1371,Spring,Aura,21936,8226,13710,Card,185,Friday,Budget-Spender,Off-Peak,High
94,4/6/2024,Manali,Odisha,2,2431,Spring,Carence,53482,19448,34034,Online,290,Saturday,High-Spender,Off-Peak,High
95,4/7/2024,Delhi,Odisha,5,1500,Spring,Shift Dizire,24000,9000,15000,Cash,352,Sunday,Mid-Spender,Off-Peak,High
96,4/9/2024,Goa,Delhi,1,1772,Spring,Etios,28352,10632,17720,Cash,344,Tuesday,Mid-Spender,Off-Peak,High
97,4/10/2024,Agra,Hyderabad,6,1800,Spring,Toyota Rumion,37800,14400,23400,Online,284,Wednesday,Mid-Spender,Off-Peak,Medium
98,4/11/2024,Mumbai,Agra,5,1500,Spring,Artica,28500,10500,18000,Online,409,Thursday,Mid-Spender,Off-Peak,Low
99,4/12/2024,Bangalore,Manali,1,1639,Spring,Etios,26224,9834,16390,Card,444,Friday,Mid-Spender,Off-Peak,Low
100,4/13/2024,Delhi,Goa,5,1500,Spring,Etios,24000,9000,15000,Online,247,Saturday,Mid-Spender,Off-Peak,High
101,4/14/2024,Pune,Rishikesh,5,1978,Spring,Aura,31648,11868,19780,Online,270,Sunday,Mid-Spender,Off-Peak,High
102,4/15/2024,Hyderabad,Rishikesh,2,778,Spring,Shift Dizire,12448,4668,7780,Online,444,Monday,Budget-Spender,Off-Peak,High
103,4/17/2024,Udaipur,Manali,4,2036,Spring,Tata Zest,32576,12216,20360,Online,153,Wednesday,Mid-Spender,Off-Peak,Low
104,4/18/2024,Bangalore,Rishikesh,4,1795,Spring,Artica,34105,12565,21540,Cash,101,Thursday,Mid-Spender,Off-Peak,High
105,4/19/2024,Shimla,Delhi,5,1500,Spring,Tata Zest,24000,9000,15000,Online,329,Friday,Mid-Spender,Off-Peak,High
106,4/20/2024,Chennai,Goa,1,568,Spring,Carence,12496,4544,7952,Card,427,Saturday,Budget-Spender,Off-Peak,High
107,4/22/2024,Bangalore,Mumbai,1,670,Spring,Carence,14740,5360,9380,Card,341,Monday,Budget-Spender,Off-Peak,Medium
108,4/23/2024,Jaipur,Pune,4,2473,Spring,Toyota Rumion,51933,19784,32149,Card,150,Tuesday,High-Spender,Off-Peak,Low
109,4/24/2024,Udaipur,Mumbai,5,1500,Spring,Carence,33000,12000,21000,Online,217,Wednesday,Mid-Spender,Off-Peak,Medium
110,4/25/2024,Agra,Rishikesh,5,2347,Spring,Innova,53981,18776,35205,Card,279,Thursday,High-Spender,Off-Peak,High
111,4/26/2024,Mumbai,Rishikesh,6,1800,Spring,Toyota Rumion,37800,14400,23400,Card,339,Friday,Mid-Spender,Off-Peak,High
112,4/28/2024,Jaipur,Shimla,4,1200,Spring,Tata Zest,19200,7200,12000,Card,299,Sunday,Budget-Spender,Off-Peak,Medium
113,4/29/2024,Odisha,Udaipur,6,1800,Spring,Artica,34200,12600,21600,Cash,441,Monday,Mid-Spender,Off-Peak,Medium
114,4/30/2024,Udaipur,Jaipur,1,400,Spring,Aura,6400,2400,4000,Card,422,Tuesday,Budget-Spender,Off-Peak,High
115,5/1/2024,Shimla,Mumbai,1,2078,Spring,Carence,45716,16624,29092,Cash,176,Wednesday,High-Spender,Peak,Medium
116,5/2/2024,Delhi,Pune,6,1800,Spring,Carence,39600,14400,25200,Card,159,Thursday,Mid-Spender,Peak,Low
117,5/3/2024,Kolkata,Goa,5,1500,Spring,Tata Zest,24000,9000,15000,Cash,449,Friday,Mid-Spender,Peak,High
118,5/4/2024,Pune,Delhi,3,1744,Spring,Artica,33136,12208,20928,Online,219,Saturday,Mid-Spender,Peak,High
119,5/5/2024,Shimla,Delhi,6,1927,Spring,Toyota Rumion,40467,15416,25051,Cash,492,Sunday,High-Spender,Peak,High
120,5/6/2024,Mumbai,Pune,4,1200,Spring,Carence,26400,9600,16800,Online,192,Monday,Mid-Spender,Peak,Low
121,5/7/2024,Jaipur,Udaipur,2,2150,Spring,Aura,34400,12900,21500,Cash,467,Tuesday,Mid-Spender,Peak,Medium
122,5/8/2024,Goa,Shimla,5,1921,Spring,Shift Dizire,30736,11526,19210,Cash,222,Wednesday,Mid-Spender,Peak,Medium
123,5/9/2024,Shimla,Mumbai,3,1739,Spring,Etios,27824,10434,17390,Cash,493,Thursday,Mid-Spender,Peak,Medium
124,5/10/2024,Agra,Varanasi,7,2100,Spring,Toyota Rumion,44100,16800,27300,Cash,94,Friday,High-Spender,Peak,Medium
125,5/11/2024,Chennai,Shimla,1,1859,Spring,Tata Zest,29744,11154,18590,Cash,151,Saturday,Mid-Spender,Peak,Medium
126,5/12/2024,Chennai,Mumbai,3,900,Spring,Aura,14400,5400,9000,Cash,268,Sunday,Budget-Spender,Peak,Medium
127,5/13/2024,Goa,Rishikesh,1,513,Spring,Aura,8208,3078,5130,Cash,206,Monday,Budget-Spender,Peak,High
128,5/14/2024,Bangalore,Pune,7,2100,Spring,Carence,46200,16800,29400,Online,282,Tuesday,High-Spender,Peak,Low
129,5/15/2024,Kolkata,Agra,4,2295,Spring,Etios,36720,13770,22950,Card,493,Wednesday,Mid-Spender,Peak,Low
130,5/16/2024,Bangalore,Mumbai,2,2429,Spring,Shift Dizire,38864,14574,24290,Card,323,Thursday,Mid-Spender,Peak,Medium
131,5/17/2024,Chennai,Goa,3,973,Spring,Shift Dizire,15568,5838,9730,Online,342,Friday,Budget-Spender,Peak,High
132,5/18/2024,Udaipur,Shimla,3,900,Spring,Innova,20700,7200,13500,Online,80,Saturday,Budget-Spender,Peak,Medium
133,5/19/2024,Mumbai,Varanasi,4,1200,Spring,Crista,32400,12000,20400,Online,90,Sunday,Mid-Spender,Peak,Medium
134,5/20/2024,Pune,Delhi,6,1800,Spring,Tata Zest,28800,10800,18000,Card,346,Monday,Mid-Spender,Peak,High
135,5/21/2024,Rishikesh,Manali,1,450,Spring,Etios,7200,2700,4500,Online,353,Tuesday,Budget-Spender,Peak,Low
136,5/22/2024,Delhi,Pune,3,2270,Spring,Carence,49940,18160,31780,Card,452,Wednesday,High-Spender,Peak,Low
137,5/23/2024,Agra,Shimla,4,1200,Spring,Innova,27600,9600,18000,Cash,230,Thursday,Mid-Spender,Peak,Medium
138,5/24/2024,Agra,Kolkata,1,440,Spring,Crista,11880,4400,7480,Card,92,Friday,Budget-Spender,Peak,Low
139,5/25/2024,Mumbai,Varanasi,1,917,Spring,Etios,14672,5502,9170,Online,433,Saturday,Budget-Spender,Peak,Medium
140,5/26/2024,Jaipur,Chennai,1,801,Spring,Toyota Rumion,16821,6408,10413,Cash,399,Sunday,Budget-Spender,Peak,Low
141,5/27/2024,Rishikesh,Shimla,2,1100,Spring,Toyota Rumion,23100,8800,14300,Cash,360,Monday,Budget-Spender,Peak,Medium
142,5/28/2024,Mumbai,Hyderabad,1,2319,Spring,Etios,37104,13914,23190,Card,410,Tuesday,Mid-Spender,Peak,Medium
143,5/29/2024,Mumbai,Rishikesh,4,2209,Spring,Shift Dizire,35344,13254,22090,Cash,357,Wednesday,Mid-Spender,Peak,High
144,5/30/2024,Jaipur,Kolkata,6,2393,Spring,Aura,38288,14358,23930,Online,412,Thursday,Mid-Spender,Peak,Low
145,5/31/2024,Hyderabad,Manali,6,1800,Spring,Crista,48600,18000,30600,Online,257,Friday,High-Spender,Peak,Low
146,6/1/2024,Shimla,Delhi,1,633,Monsoon,Toyota Rumion,13293,5064,8229,Cash,68,Saturday,Budget-Spender,Peak,High
147,6/2/2024,Pune,Agra,1,2247,Monsoon,Innova,51681,17976,33705,Online,308,Sunday,High-Spender,Peak,Low
148,6/3/2024,Agra,Goa,6,1916,Monsoon,Crista,51732,19160,32572,Online,212,Monday,High-Spender,Peak,High
149,6/4/2024,Odisha,Udaipur,7,2100,Monsoon,Carence,46200,16800,29400,Online,239,Tuesday,High-Spender,Peak,Medium
150,6/5/2024,Agra,Rishikesh,1,381,Monsoon,Artica,7239,2667,4572,Cash,380,Wednesday,Budget-Spender,Peak,High
151,6/6/2024,Agra,Pune,3,1177,Monsoon,Carence,25894,9416,16478,Cash,97,Thursday,Mid-Spender,Peak,Low
152,6/7/2024,Goa,Pune,5,1500,Monsoon,Tata Zest,24000,9000,15000,Online,98,Friday,Mid-Spender,Peak,Low
153,6/8/2024,Varanasi,Hyderabad,4,1200,Monsoon,Aura,19200,7200,12000,Card,236,Saturday,Budget-Spender,Peak,Medium
154,6/9/2024,Goa,Delhi,6,2028,Monsoon,Innova,46644,16224,30420,Online,143,Sunday,High-Spender,Peak,High
155,6/10/2024,Chennai,Delhi,4,2368,Monsoon,Artica,44992,16576,28416,Card,386,Monday,High-Spender,Peak,High
156,6/11/2024,Agra,Chennai,1,546,Monsoon,Tata Zest,8736,3276,5460,Card,304,Tuesday,Budget-Spender,Peak,Low
157,6/12/2024,Hyderabad,Odisha,5,1826,Monsoon,Shift Dizire,29216,10956,18260,Card,451,Wednesday,Mid-Spender,Peak,High
158,6/13/2024,Odisha,Shimla,5,1500,Monsoon,Crista,40500,15000,25500,Cash,100,Thursday,High-Spender,Peak,Medium
159,6/14/2024,Agra,Rishikesh,2,600,Monsoon,Carence,13200,4800,8400,Cash,440,Friday,Budget-Spender,Peak,High
160,6/15/2024,Chennai,Pune,2,802,Monsoon,Crista,21654,8020,13634,Card,148,Saturday,Budget-Spender,Peak,Low
161,6/16/2024,Goa,Rishikesh,3,1739,Monsoon,Innova,39997,13912,26085,Online,340,Sunday,High-Spender,Peak,High
162,6/17/2024,Agra,Varanasi,4,1200,Monsoon,Etios,19200,7200,12000,Card,327,Monday,Budget-Spender,Peak,Medium
163,6/18/2024,Jaipur,Chennai,3,1206,Monsoon,Aura,19296,7236,12060,Online,459,Tuesday,Budget-Spender,Peak,Low
164,6/19/2024,Manali,Varanasi,3,2450,Monsoon,Aura,39200,14700,24500,Cash,250,Wednesday,Mid-Spender,Peak,Medium
165,6/20/2024,Shimla,Manali,2,600,Monsoon,Innova,13800,4800,9000,Card,213,Thursday,Budget-Spender,Peak,Low
166,6/21/2024,Pune,Manali,6,2329,Monsoon,Tata Zest,37264,13974,23290,Card,241,Friday,Mid-Spender,Peak,Low
167,6/22/2024,Udaipur,Goa,7,2100,Monsoon,Tata Zest,33600,12600,21000,Online,244,Saturday,Mid-Spender,Peak,High
168,6/23/2024,Manali,Agra,3,1395,Monsoon,Tata Zest,22320,8370,13950,Card,429,Sunday,Budget-Spender,Peak,Low
169,6/24/2024,Rishikesh,Kolkata,7,2100,Monsoon,Innova,48300,16800,31500,Card,74,Monday,High-Spender,Peak,Low
170,6/25/2024,Mumbai,Hyderabad,5,2043,Monsoon,Tata Zest,32688,12258,20430,Cash,293,Tuesday,Mid-Spender,Peak,Medium
171,6/26/2024,Pune,Odisha,3,1942,Monsoon,Shift Dizire,31072,11652,19420,Online,199,Wednesday,Mid-Spender,Peak,High
172,6/27/2024,Rishikesh,Hyderabad,2,600,Monsoon,Toyota Rumion,12600,4800,7800,Cash,364,Thursday,Budget-Spender,Peak,Medium
173,6/28/2024,Bangalore,Agra,5,2489,Monsoon,Toyota Rumion,52269,19912,32357,Cash,59,Friday,High-Spender,Peak,Low
174,6/29/2024,Varanasi,Delhi,7,2100,Monsoon,Tata Zest,33600,12600,21000,Card,396,Saturday,Mid-Spender,Peak,High
175,6/30/2024,Rishikesh,Jaipur,6,1800,Monsoon,Crista,48600,18000,30600,Cash,311,Sunday,High-Spender,Peak,High
176,7/1/2024,Udaipur,Agra,1,350,Monsoon,Tata Zest,5600,2100,3500,Cash,306,Monday,Budget-Spender,Off-Peak,Low
177,7/2/2024,Agra,Odisha,3,1400,Monsoon,Tata Zest,22400,8400,14000,Cash,359,Tuesday,Budget-Spender,Off-Peak,High
178,7/3/2024,Goa,Odisha,2,2401,Monsoon,Innova,55223,19208,36015,Cash,53,Wednesday,High-Spender,Off-Peak,High
179,7/4/2024,Pune,Goa,6,1800,Monsoon,Innova,41400,14400,27000,Card,116,Thursday,High-Spender,Off-Peak,High
180,7/5/2024,Pune,Agra,1,476,Monsoon,Carence,10472,3808,6664,Cash,158,Friday,Budget-Spender,Off-Peak,Low
181,7/6/2024,Odisha,Rishikesh,5,2287,Monsoon,Artica,43453,16009,27444,Card,264,Saturday,High-Spender,Off-Peak,High
182,7/7/2024,Manali,Delhi,3,1502,Monsoon,Carence,33044,12016,21028,Online,243,Sunday,Mid-Spender,Off-Peak,High
183,7/8/2024,Hyderabad,Jaipur,3,1352,Monsoon,Innova,31096,10816,20280,Cash,422,Monday,Mid-Spender,Off-Peak,High
184,7/9/2024,Chennai,Delhi,3,2266,Monsoon,Crista,61182,22660,38522,Cash,320,Tuesday,High-Spender,Off-Peak,High
185,7/10/2024,Hyderabad,Varanasi,1,608,Monsoon,Crista,16416,6080,10336,Cash,477,Wednesday,Budget-Spender,Off-Peak,Medium
186,7/11/2024,Chennai,Delhi,4,1918,Monsoon,Carence,42196,15344,26852,Online,329,Thursday,High-Spender,Off-Peak,High
187,7/12/2024,Pune,Goa,1,460,Monsoon,Crista,12420,4600,7820,Cash,72,Friday,Budget-Spender,Off-Peak,High
188,7/13/2024,Goa,Delhi,3,1290,Monsoon,Shift Dizire,20640,7740,12900,Card,402,Saturday,Budget-Spender,Off-Peak,High
189,7/14/2024,Odisha,Varanasi,6,1800,Monsoon,Crista,48600,18000,30600,Cash,72,Sunday,High-Spender,Off-Peak,Medium
190,7/15/2024,Kolkata,Jaipur,2,919,Monsoon,Tata Zest,14704,5514,9190,Cash,425,Monday,Budget-Spender,Off-Peak,High
191,7/16/2024,Varanasi,Bangalore,4,2498,Monsoon,Innova,57454,19984,37470,Online,56,Tuesday,High-Spender,Off-Peak,Low
192,7/17/2024,Udaipur,Odisha,3,900,Monsoon,Crista,24300,9000,15300,Cash,475,Wednesday,Mid-Spender,Off-Peak,High
193,7/18/2024,Varanasi,Rishikesh,6,1800,Monsoon,Innova,41400,14400,27000,Cash,151,Thursday,High-Spender,Off-Peak,High
194,7/19/2024,Chennai,Jaipur,7,2100,Monsoon,Aura,33600,12600,21000,Cash,477,Friday,Mid-Spender,Off-Peak,High
195,7/20/2024,Shimla,Pune,7,2100,Monsoon,Aura,33600,12600,21000,Online,383,Saturday,Mid-Spender,Off-Peak,Low
196,7/22/2024,Delhi,Chennai,6,2200,Monsoon,Crista,59400,22000,37400,Card,487,Monday,High-Spender,Off-Peak,Low
197,7/23/2024,Goa,Udaipur,7,2100,Monsoon,Artica,39900,14700,25200,Cash,213,Tuesday,Mid-Spender,Off-Peak,Medium
